MODULO,ROL,NUMERO,FUNCIONALIDAD,ACTUAL,"Agregar, Eliminar, cambiar, mover, habilitar, bloquear",observacion,observacion
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.1,VER DASHBOARD CON KPIS GENERALES,habilitado,,1.-qué muestra el botón de TENDENCIA 2.-qué muestra los HALLAZGOS ABIERTOS   3.- Incorporar en parte inferior una pequeña leyenda con indicadores de colores 7.- En los periodos en donde no le corresponda carga de programa en vez de una rayita asignar N/A),
,,,KPI % EECC CON REGISTRO,,Agregar KPI % EECC CON REGISTRO ( son empresas que han cerrado registros / total de empresas que debieron cargar registros),,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.2,VER CANTIDAD TOTAL DE CONTRATISTAS,habilitado,ok,,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.3,VER CANTIDAD TOTAL DE REGISTROS,habilitado,ok,,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.4,VER CANTIDAD TOTAL DE EVIDENCIAS,habilitado,ELIMINAR,,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.5,VER PORCENTAJE DE CUMPLIMIENTO GENERAL,habilitado, Los contratos inactivos afectan el % total de los indicadores?,,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.6,VER TABLA DE REGISTROS RECIENTES,habilitado,ok,,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.7,"FILTRAR POR EECC, DEPENDENCIA, PERIODO",habilitado,"Agregar FILTROS: GERENCIA, SUBGERENCIA, ADMINISTRADOR DE CONTRATO",,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR (`ADMIN`),1.8,"VER ""MIS CONTRATISTAS"" (VISTA DE ADMIN CONTRATO)",habilitado,,no se visualiza. ,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),1.9,VER DASHBOARD LIMITADO A SUS CONTRATISTAS ASIGNADOS,habilitado,No se visualiza y queremos que sea la misma visual de ADMIN,,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),1.10,"VER ""MIS CONTRATISTAS"" (SOLO ASIGNADOS)",habilitado,No se visualiza y queremos que sea la misma visual de ADMIN,,
📊 MODULO 1: DASHBOARD,ADMINISTRADOR DE CONTRATO (`ADMINISTRADOR_CONTRATO`),1.11,VER KPIS SOLO DE SUS CONTRATISTAS,habilitado,No se visualiza y queremos que sea la misma visual de ADMIN,,
,,,INCORPORACION NUEVA PESTAÑA: PENDIENTES,,Acá se debe incorporar toda la visual que se encuentra en este momento en el DASHBOARD ,aca se mostraran los programas abiertos y pendientes de completar según el periodo ,
📊 MODULO 1: DASHBOARD,CONTRATISTA (`CONTRATISTA`),1.12,VER DASHBOARD CON SU CUMPLIMIENTO,habilitado,"Replicar visual de DASHBOARD de usuario ADMIN ( tabla con información mensual del cumplimiento y cumplimiento auditado, con los filtros tambien) ",,
📊 MODULO 1: DASHBOARD,CONTRATISTA (`CONTRATISTA`),1.13,VER SEMAFORO VISUAL (VERDE/AMARILLO/ROJO),habilitado,no se visualiza   ,,
📊 MODULO 1: DASHBOARD,CONTRATISTA (`CONTRATISTA`),1.14,VER META DEL PROGRAMA,habilitado,se visualiza por programa mas no global,,
📊 MODULO 1: DASHBOARD,CONTRATISTA (`CONTRATISTA`),1.15,"VER BOTON ""NUEVO REGISTRO"" PARA EL PERIODO ACTUAL",habilitado,ok    incorporar en modulo : PENDIENTES,,
📊 MODULO 1: DASHBOARD,CONTRATISTA (`CONTRATISTA`),1.16,VER SERVICIOS/DEPENDENCIAS ASIGNADOS,habilitado,ok    incorporar en modulo : PENDIENTES,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.1,VER LISTA DE TODOS LOS REGISTROS,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.2,FILTRAR POR EECC,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.3,FILTRAR POR DEPENDENCIA,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.4,FILTRAR POR PERIODO (MES/ANO),habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.5,FILTRAR POR ESTADO DE AUDITORIA,habilitado,ok,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.6,ORDENAR POR COLUMNAS,habilitado,,no se visualiza esta alternativa,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.7,VER DETALLE DE UN REGISTRO,habilitado,OK,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.8,EXPORTAR REGISTRO A PDF,habilitado,OK,,
📋 MODULO 2: GESTION DE REGISTROS,ADMINISTRADOR (`ADMIN`),2.9,VER TRAZABILIDAD (LOGS) DEL REGISTRO,habilitado,OK,,
