ïtem,Actividades de Programa,Descripción de la actividad y criterios de cumplimiento.,Responsable,Frecuencia 
1,ELEMENTO 1: Liderazgo y compromiso,,,
1.1,E-1. Ejecución del Programa SAFEALIGN,"Todo contacto de seguridad deberá ser planificado, según las directrices de programa safealign, y esta planificación tendrá su foco en los análisis de tendencia de accidentes. Se deberá realizar los CS, SST e IRF acorde a las metas establecidas en el programa Safealign, y de acuerdo al numero de personas que deban reportar.
Contactos de Seguridad (CS): 2 CS por cada jefatura o linea de supervisión que se hayan asignado.
Sesiones de Seguridad en el trabajo (SST): 2 SST por cada jefatura o linea de supervisión que se hayan asignado.
Inspección de Riesgos Físicos (IRF): 2 IRF por cada jefatura o linea de supervisión que se hayan asignado.","Supervisor
Experto en Prevención",Mensual
1.2,E-1   Participación en CPHS de faena,"La actividad corresponde a la participación activa en las reuniones y comisiones del CPHS de faena en las dependencias en las que aplique, debe existir evidencia objetiva de su participación en la reunión del mes informado, especificamente un registro de asistencia junto con el acta respectiva. ","Supervisor
Experto en Prevención",Mensual
1.3,E-1    Reunion de accountability,La actividad corresponde a la presentación de resultados correspondientes al programa +seguridad contratistas al administrador de contrato Abastible y Equipo de Integridad Operacional. La presentación se deberá realizar bajo el formato establecido por Abastible.,"Supervisor
Experto en Prevención",Mensual
2,ELEMENTO 2: Evaluación del riesgo y Gestión del riesgo,Descripción de la actividad,Responsable,Frecuencia
2.1,E-2 Realizar un analisis de riesgos cualitativo (AST) de una tarea crítica que se desprenda de la matriz de riesgos del Proceso de distribución granel.,"Realizar una sesión de seguridad, desarrollando un análisis de riesgos cualitativo (AST) de una tarea que se desprenda de la matriz de riesgos del procesos, generada por Abastible. El análisis debe ser compartido mediante una sesión de seguridad con el personal del segmento al cual pertenezca. Esta actividad se dará por realizada cuando exista un análisis de riesgos (AST) y esta información se encuentre difundida al personal mediante una sesión de seguridad, por tanto, el criterio de cumplimiento considera 02 documentos: AST y registro de asistencia.",Supervisor EECC / EPR,Mensual
2.2,E-2 Cumplimiento de protocolos MINSAL,"Realizar implementación, ejecución, seguimiento y control de actividades asociadas a los siguientes protocolos:
a) PREXOR;
b) TMERT;
c) MMC;
d) Radiación UV;
e) Psicosocial;
El criterio de cumplimiento corresponderá al 90% de las tareas planificadas mensualmente por la empresa contratista, esto según planificación que debe ser abordada por cada empresa. (carta gantt)",Supervisor EECC / EPR,Mensual
3,ELEMENTO 5: Competencias y capacitación del personal,Descripción de la actividad,Responsable,Frecuencia
3.1,"E-5 Ejecución de las inducciones, de acuerdo al D.S. N°44 (Charla ODI) ","Consiste en realizar la inducción de todo trabajador nuevo, reasignación de cargo, o que haya estado un periodo extenso sin realizar las labores para las cuales fue contratado (ej. Licencia médica), o que haya reingresado posterior a un accidente. Par dar cumplimiento a este ítem se requiere  un registro individualizado de capacitación con datos mínimos tales como: nombre, rut, cargo que desarrollará, empresa por la cual realiza la inducción, fecha, hora inicio, hora de término. ODI firmada por trabajador (La ODI es responsabilidad de EECC, Abastible realiza charla de ingreso a planta)",Supervisor EECC / EPR,Mensual
3.2,E-5 Cumplimiento de plan de capacitación anual,"Ejecución de las capacitaciones de acuerdo a plan anual de capacitación que se haya asignado al segmento de distribución GR, ya sea en plataforma ACHS, en AULA (platafora disponibilizada por Abastible), o las proporcionadas en forma directa por la jefatura o línea de supervisión. Para dar cumplimiento a este ítem se debe mantener disponible e registro de asistencia, diploma de la plataforma a la cual se acceda.",Supervisor EECC / EPR,Mensual
