=== SHEET: reglas_flujo_abastible ===
 Restricción , Admin , Admin Contrato , Contratista 
 Crear contratistas ,si,no,no
 Editar contratistas ,si,no,no
 Eliminar contratistas ,si,no,no
 Crear usuarios Abastible ,si,si,no
 Crear usuarios propios (operativos) ,si,si,si
 Auditar registros ,si, si (solo asignados) ,no
 Aprobar reaperturas ,si, si (solo asignados) ,no
 Reabrir directamente (sin solicitud) ,si,si,no
 Eliminar registros ,si,no,no
 CRUD Programas/Elementos/Actividades ,si,no,no
 CRUD Servicios ,si,no,no
 CRUD Dependencias ,si,no,no
 Ver todos los contratistas ,si, si (solo asignados) ,no
 Ver todos los registros ,si, si (solo asignados) , si (solo propios) 
,,,
,,,
Por favor marque su decisión en cada item:	,,,
,,,
### Creación/Edición de Contratistas por administrador	,,,
 **5.4**: ¿Permitir edición de datos maestros del contratista en PGE?	,si,,
" **5.11**: ¿Mostrar botón ""Eliminar Contratista"" o ocultarlo?	",si,,
,,,
### Creación de Usuarios	,,,
 **5.21**: ¿Quién crea los usuarios operativos del contratista?	,,,
   El mismo contratista	,si,Los 3 perfiles pueden,
   Solo el Admin de Contrato	,si,,
   Solo el Admin (Dios)	,si,,
,,,
### Registros	,,,
 **2.11**: ¿Solo Admin (Dios) puede reabrir directamente sin solicitud?	,no,El ADC tambien puede,
" **2.12**: ¿Desactivar botón ""Eliminar Registro"" en producción?	",no,Solo Dios,
,,,
### Evidencias	,,,
 ¿Es obligatorio subir evidencia para enviar un registro?	,,,
"   Sí, obligatorio para todas las actividades	",si,Para todas las actividades,
"   Sí, solo para actividades marcadas como ""requiere evidencia""	", ? ,,
"   No, es opcional	", ? ,,
,,,
,,,
### Notificaciones Email	,,,
 **12.4**: ¿Implementar email cuando auditoría es completada?	,si,,
 **12.5**: ¿Implementar email de recordatorio de fecha límite?	,si,,
**12.6**: ¿Implementar email cuando contratista envía registro?	,si,"Por lo que pudimos ver el contratista crea registro pero puede editarlo en varias oportunidades, no nos queda claro si es que hay un hito de envio de registro para que sea auditado ya que no lo pudimos visualizar",
